OBJECTID_1,ID,CountyName,State,TOTPOP_CY,Deaths,Expected,Abnormal,Excess,COVID19,Unknown,Shape_Leng,IDFLOAT,FID_1,OBJECTID,FIPS_BEA,Shape_Le_1,Shape_Area,OBJECTID_2,FIPS_NUM,FIPS,STATE_1,ST_ABBR,COUNTY,LOCATION,SVI_RANK,risk_score,Covid_EVI,EVI_Rank,CASESPER10,DIFFPREVDA,DIFFPREV_1,PctUnemplo,population,populati_1,per_pop_ov,over_60_pe,icu_beds,positives,hospitals,licensed_b,staffed_be,deaths_1,Rating_Com,Rating_FWS,Rating_Haz,Rating_Hea,Rating_Ene,Rating_Saf,Rating_Tra,Pct_Diabet,HeartHospR,Pct_Obesit,Pct_Inacti,PM25_2014,UrbanRural,FoodInsRat,CASEDENSIT,POSITIVITY,INFECTIONR
16,01031,Coffee County,AL,52689,417,410,7,7,16,0,173425.809281,1031.0,11,16,1031.0,1.67865220647,0.167151427176,577,1031,1031,ALABAMA,AL,Coffee,"Coffee County, Alabama",0.5408,0.92847,95.76,1001,4783.37089907,18,0.73022312373,3.7,51909,8801,21.6,1575,7,3126,1,131,99,29,9.0,5.0,9.0,5.0,7.0,6.0,9.0,14.4,176.9,33.5,29.3,10.9,4,0.156,74.237023532,0.2276,1.16065508596
17,01033,Colbert County,AL,55896,527,548,-21,0,51,0,215434.024684,1033.0,1536,17,1033.0,2.11773432212,0.158906120959,0,0,0,,,,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
18,01035,Conecuh County,AL,12723,141,155,-15,0,0,0,263946.982512,1035.0,12,18,1035.0,2.49487584977,0.209495757077,578,1035,1035,ALABAMA,AL,Conecuh,"Conecuh County, Alabama",0.8086,0.27781,93.06,1174,5452.96029167,3,0.43795620438,7.1,12277,2762,28.0,null,8,798,1,58,44,15,9.0,5.0,9.0,5.0,7.0,6.0,9.0,23.7,301.9,39.4,32.9,10.3,4,0.195,29.5966567617,0.1314,0.75945589464
19,01037,Coosa County,AL,10817,113,127,-14,0,0,0,175642.866337,1037.0,13,19,1037.0,1.73336074737,0.166405818136,579,1037,1037,ALABAMA,AL,Coosa,"Coosa County, Alabama",0.5261,0.21444,67.2,2513,3299.77628635,8,2.31213872832,4.7,10715,2481,28.7,null,0,451,0,0,0,6,9.0,5.0,9.0,5.0,7.0,6.0,9.0,17.9,221.0,40.8,29.2,11.0,4,0.164,33.4936563015,0.2502,0.69419809002
20,01039,Covington County,AL,37405,461,410,51,51,58,0,246203.937184,1039.0,14,20,1039.0,2.28281763079,0.255967582809,580,1039,1039,ALABAMA,AL,Covington,"Covington County, Alabama",0.7723,0.48601,80.46,1864,5855.78404804,1,0.04539264639,3.9,36986,7790,27.4,792,13,2683,2,187,128,38,9.0,5.0,9.0,5.0,7.0,6.0,9.0,12.9,266.0,33.9,31.2,10.5,4,0.177,75.5755890847,0.1153,1.13558165143
21,01041,Crenshaw County,AL,14063,161,142,19,19,26,0,243163.093774,1041.0,15,21,1041.0,2.19332219038,0.150562788388,581,1041,1041,ALABAMA,AL,Crenshaw,"Crenshaw County, Alabama",0.6873,0.07661,81.17,1823,5098.06698294,8,1.12359550562,4.4,13824,2629,24.3,null,5,820,2,93,57,33,9.0,5.0,9.0,5.0,7.0,6.0,9.0,16.3,205.2,38.7,28.6,10.7,4,0.166,56.0142732667,0.109,1.05725010346
22,01043,Cullman County,AL,85073,837,812,25,25,38,0,244063.192728,1043.0,16,22,1043.0,2.4145092915,0.191063557529,582,1043,1043,ALABAMA,AL,Cullman,"Cullman County, Alabama",0.5182,2.29284,97.59,906,5356.31665737,41,0.91640590076,3.2,83442,15446,24.1,1639,12,6161,2,185,185,67,9.0,5.0,9.0,5.0,7.0,6.0,9.0,17.2,197.6,34.7,32.1,11.6,4,0.151,105.734204674,0.172,1.07993280687
23,01045,Dale County,AL,50967,371,415,-44,0,53,0,171311.513362,1045.0,17,23,1045.0,1.61095405661,0.138262514233,583,1045,1045,ALABAMA,AL,Dale,"Dale County, Alabama",0.7599,0.63039,82.71,1746,4680.47161399,18,0.76791808874,4.5,48956,8270,21.3,1750,6,2954,1,89,77,59,9.0,5.0,9.0,5.0,7.0,6.0,9.0,14.4,208.9,37.6,28.0,11.0,4,0.18,70.0166180521,0.2338,1.20200916636
24,01047,Dallas County,AL,41911,381,408,-27,0,46,0,316752.702222,1047.0,18,24,1047.0,2.79566804881,0.246420458816,584,1047,1047,ALABAMA,AL,Dallas,"Dallas County, Alabama",0.949,0.76534,81.11,1830,5250.48615613,3,0.13245033113,10.4,38310,6921,23.2,524,23,2577,1,175,109,36,9.0,5.0,9.0,5.0,7.0,6.0,9.0,13.9,254.0,42.4,26.9,11.1,4,0.227,36.870323998,0.1536,0.9543766143
25,01049,DeKalb County,AL,72945,566,633,-67,0,28,0,226546.449233,1049.0,19,25,1049.0,2.18427492608,0.197859933147,585,1049,1049,ALABAMA,AL,DeKalb,"DeKalb County, Alabama",0.8022,1.04248,84.31,1642,6828.9028248,25,0.51051664284,3.4,71385,12322,22.2,1315,12,6289,1,134,97,51,9.0,5.0,9.0,5.0,7.0,6.0,9.0,11.2,206.5,30.5,29.3,11.3,4,0.166,113.465883326,0.3348,1.15927537096
26,01051,Elmore County,AL,85079,542,602,-60,0,35,0,230011.684505,1051.0,20,26,1051.0,2.24886585536,0.163498382828,586,1051,1051,ALABAMA,AL,Elmore,"Elmore County, Alabama",0.5401,0.84658,138.56,113,4947.75439774,35,0.85490962384,4.5,81887,12400,19.7,3186,11,5357,2,138,70,78,9.0,5.0,9.0,5.0,7.0,6.0,9.0,14.9,207.8,36.1,27.2,11.9,3,0.143,85.6696038265,0.1696,1.17704059058
27,01053,Escambia County,AL,38314,305,362,-57,0,22,0,248180.430746,1053.0,21,27,1053.0,2.45791027412,0.233398759059,587,1053,1053,ALABAMA,AL,Escambia,"Escambia County, Alabama",0.8557,0.19727,129.86,154,5181.17168981,3,0.15105740181,5.5,36748,6596,23.1,620,14,2366,2,142,95,33,9.0,5.0,9.0,5.0,7.0,6.0,9.0,17.1,259.1,38.6,29.0,10.2,4,0.194,51.4758356049,0.0907,1.08001196062
28,01055,Etowah County,AL,103477,1349,1030,319,319,150,169,209080.424017,1055.0,22,28,1055.0,2.01440322748,0.138750306052,588,1055,1055,ALABAMA,AL,Etowah,"Etowah County, Alabama",0.6564,1.7774,102.61,663,6253.21692515,88,1.38560856558,6.5,102501,19487,24.4,449,85,8690,4,739,590,82,9.0,5.0,9.0,5.0,7.0,6.0,9.0,13.5,271.0,36.4,32.0,11.5,3,0.166,121.66911588,0.2816,1.08413826846
29,01057,Fayette County,AL,16832,186,193,-7,0,0,0,184690.691113,1057.0,23,29,1057.0,1.83755133675,0.158568346292,589,1057,1057,ALABAMA,AL,Fayette,"Fayette County, Alabama",0.7038,0.43845,74.34,2180,5482.45614035,3,0.32537960954,4.4,16433,3472,27.6,384,8,1271,1,61,45,18,9.0,5.0,9.0,5.0,7.0,6.0,9.0,21.0,248.6,38.4,32.8,10.6,4,0.183,112.168533221,0.3492,1.00512182543
30,01059,Franklin County,AL,31953,243,275,-32,0,14,0,173094.237069,1059.0,24,30,1059.0,1.780155063,0.164207418182,590,1059,1059,ALABAMA,AL,Franklin,"Franklin County, Alabama",0.8417,0.67344,78.25,1988,8051.75229243,22,0.86546026751,3.2,31363,5296,22.4,1008,11,2978,2,125,74,36,9.0,5.0,9.0,5.0,7.0,6.0,9.0,13.3,248.5,33.2,32.6,10.5,4,0.157,68.3265462297,0.1798,1.03178895626
31,01061,Geneva County,AL,27031,262,300,-38,0,11,0,181230.689831,1061.0,25,31,1061.0,1.83328477243,0.141711682723,591,1061,1061,ALABAMA,AL,Geneva,"Geneva County, Alabama",0.7955,0.35012,73.3,2234,4605.92136955,6,0.48504446241,3.7,26314,5341,25.3,1119,6,1471,1,83,73,16,9.0,5.0,9.0,5.0,7.0,6.0,9.0,14.3,217.4,38.8,30.8,10.6,3,0.19,45.1339608585,0.1966,0.94685970508
32,01063,Greene County,AL,8840,90,98,-7,0,0,0,360812.487191,1063.0,26,32,1063.0,3.38022213782,0.164631196993,592,1063,1063,ALABAMA,AL,Greene,"Greene County, Alabama",0.9854,0.24452,78.7,1950,4682.71334792,1,0.23419203747,10.3,8233,1837,27.6,null,4,574,1,20,20,20,9.0,5.0,9.0,5.0,7.0,6.0,9.0,11.3,250.4,42.4,26.7,10.5,4,0.261,81.01872237,0.2015,0.93238411936
33,01065,Hale County,AL,15173,146,162,-16,0,0,0,251738.834376,1065.0,27,33,1065.0,2.4689557533,0.163605186508,593,1065,1065,ALABAMA,AL,Hale,"Hale County, Alabama",0.9599,0.31323,64.61,2599,6470.39364869,1,0.10235414534,9.4,14726,2829,26.3,null,5,1236,1,39,28,33,9.0,5.0,9.0,5.0,7.0,6.0,9.0,15.5,258.3,42.2,29.5,10.8,3,0.207,122.858507952,0.1326,1.1684684539
34,01067,Henry County,AL,17813,177,195,-18,0,0,0,169912.243331,1067.0,28,34,1067.0,1.6010895779,0.139785334218,594,1067,1067,ALABAMA,AL,Henry,"Henry County, Alabama",0.5519,0.36194,70.0,2395,4958.06890299,8,0.92272202999,4.6,17209,3910,28.3,null,0,1061,0,0,0,8,9.0,5.0,9.0,5.0,7.0,6.0,9.0,13.7,199.3,38.5,30.6,10.9,3,0.151,83.0323410969,0.1878,1.09241104463
35,01069,Houston County,AL,106550,1669,841,828,828,278,550,210384.704476,1069.0,29,35,1069.0,2.06025324783,0.142471868135,595,1069,1069,ALABAMA,AL,Houston,"Houston County, Alabama",0.6838,0.76763,109.23,421,5066.38022821,54,1.01446552696,5.4,104722,18639,22.5,356,72,6455,5,790,769,51,9.0,5.0,9.0,5.0,7.0,6.0,9.0,11.8,209.1,36.0,27.8,10.7,3,0.169,65.4367260589,0.1477,1.15255182086
36,01071,Jackson County,AL,53635,508,523,-15,0,21,0,263730.666306,1071.0,30,36,1071.0,2.59102891836,0.287448711262,596,1071,1071,ALABAMA,AL,Jackson,"Jackson County, Alabama",0.5726,1.92633,99.81,786,6196.21989253,27,0.82543564659,3.9,51736,10373,25.7,1344,10,4595,1,170,92,29,9.0,5.0,9.0,5.0,7.0,6.0,9.0,13.9,229.7,37.7,28.8,11.0,4,0.172,100.447725675,0.2534,0.89944926066
37,01073,Jefferson County,AL,675379,8141,5399,2742,2742,724,2018,291086.215213,1073.0,31,37,1073.0,2.88835412547,0.282587912364,597,1073,1073,ALABAMA,AL,Jefferson,"Jefferson County, Alabama",0.6621,2.17786,97.11,930,4882.06067139,346,1.05752185341,6.3,659300,104547,21.0,293,393,44274,15,4768,3779,586,9.0,5.0,9.0,5.0,7.0,6.0,9.0,11.7,192.5,32.9,27.3,13.4,1,0.161,102.667867821,0.192,1.14829797591
38,01075,Lamar County,AL,14565,160,183,-23,0,0,0,171612.812299,1075.0,32,38,1075.0,1.64036116186,0.152651390248,598,1075,1075,ALABAMA,AL,Lamar,"Lamar County, Alabama",0.6264,0.39191,68.62,2460,4813.46933073,6,0.878477306,3.7,13844,2998,27.2,null,0,925,0,0,0,12,9.0,5.0,9.0,5.0,7.0,6.0,9.0,16.0,224.9,35.9,34.6,10.3,4,0.183,98.3080664356,0.3312,1.04481748462
39,01077,Lauderdale County,AL,93927,1176,822,354,354,87,267,231083.437011,1077.0,1537,39,1077.0,2.41796547128,0.183663912527,0,0,0,,,,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
40,01079,Lawrence County,AL,34042,323,335,-12,0,0,0,196043.534771,1079.0,1538,40,1079.0,1.84467624207,0.182598256506,0,0,0,,,,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
41,01081,Lee County,AL,161490,1071,859,212,212,158,54,203356.720462,1081.0,33,41,1081.0,1.99041026622,0.153205305647,599,1081,1081,ALABAMA,AL,Lee,"Lee County, Alabama",0.6602,0.70634,119.27,263,4874.64051554,29,0.37251123956,4.6,163941,19481,15.7,875,20,9188,1,314,372,73,9.0,5.0,9.0,5.0,7.0,6.0,9.0,9.5,175.3,31.5,22.4,12.1,3,0.155,51.4849009458,0.1725,1.19524466446
42,01083,Limestone County,AL,93839,671,728,-57,0,42,0,170239.839119,1083.0,34,42,1083.0,1.69314265182,0.154917650342,600,1083,1083,ALABAMA,AL,Limestone,"Limestone County, Alabama",0.5296,1.1167,86.9,1504,4696.35715292,31,0.72059507206,3.7,96174,14608,20.1,1840,18,5821,2,102,97,51,9.0,5.0,9.0,5.0,7.0,6.0,9.0,12.5,210.3,33.5,26.5,11.8,3,0.141,97.3418736144,0.2648,1.18509051437
43,01085,Lowndes County,AL,11288,107,115,-8,0,0,0,239891.544813,1085.0,35,43,1085.0,2.19547089545,0.179561779766,601,1085,1085,ALABAMA,AL,Lowndes,"Lowndes County, Alabama",0.9188,0.08062,62.09,2672,7412.88473981,3,0.37546933667,14.9,9974,1880,23.9,null,0,889,0,0,0,32,9.0,5.0,9.0,5.0,7.0,6.0,9.0,11.4,216.6,46.6,31.6,10.9,3,0.234,54.3462295467,0.2552,0.91063380072
44,01087,Macon County,AL,21030,193,212,-19,0,0,0,210510.97603,1087.0,36,44,1087.0,1.96499167795,0.152237564423,602,1087,1087,ALABAMA,AL,Macon,"Macon County, Alabama",0.8971,0.10576,77.36,2029,3750.12584315,0,0.0,9.8,18439,3756,25.1,null,0,891,1,143,143,27,9.0,5.0,9.0,5.0,7.0,6.0,9.0,21.3,197.2,46.9,30.0,11.7,4,0.202,47.4398304817,0.1427,0.9276156143
45,01089,Madison County,AL,372538,3385,2534,851,851,177,674,243052.345672,1089.0,1539,45,1089.0,2.34867385025,0.207275395205,0,0,0,,,,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
46,01091,Marengo County,AL,20668,196,230,-34,0,17,0,267538.08828,1091.0,37,46,1091.0,2.63229996544,0.243584068485,603,1091,1091,ALABAMA,AL,Marengo,"Marengo County, Alabama",0.7621,0.80857,70.45,2366,6077.5117255,6,0.48979591837,6.1,19066,3737,26.0,1025,5,1579,1,99,37,26,9.0,5.0,9.0,5.0,7.0,6.0,9.0,14.9,232.8,41.2,30.1,10.6,4,0.201,135.56395362,0.2042,1.22013388071
47,01093,Marion County,AL,30571,319,311,8,8,26,0,189746.059224,1093.0,38,47,1093.0,1.90651034122,0.188227532831,604,1093,1093,ALABAMA,AL,Marion,"Marion County, Alabama",0.671,0.74373,81.27,1816,4705.57394239,23,1.62774239207,4.2,29763,6321,27.3,2049,8,1813,2,120,97,42,9.0,5.0,9.0,5.0,7.0,6.0,9.0,18.1,239.1,37.4,29.8,10.5,4,0.178,79.3410366267,0.2315,1.11924745056
48,01095,Marshall County,AL,96672,978,900,78,78,58,20,225811.19057,1095.0,39,48,1095.0,2.16493079432,0.158170884113,605,1095,1095,ALABAMA,AL,Marshall,"Marshall County, Alabama",0.7261,1.25947,95.19,1038,6679.14252973,44,0.69741638929,3.3,96109,16375,22.7,1073,20,8233,1,150,150,69,9.0,5.0,9.0,5.0,7.0,6.0,9.0,10.2,219.7,33.2,31.7,11.8,4,0.162,86.0620768861,0.2901,0.97255447567
49,01097,Mobile County,AL,425104,4414,3149,1265,1265,471,794,993061.095551,1097.0,40,49,1097.0,3.25077354568,0.309900943901,606,1097,1097,ALABAMA,AL,Mobile,"Mobile County, Alabama",0.7532,1.25589,102.82,647,4694.09890759,47,0.23613344051,8.0,413757,67041,21.3,561,246,23078,7,1930,1490,392,9.0,5.0,9.0,5.0,7.0,6.0,9.0,12.6,222.0,37.1,27.6,10.8,3,0.168,39.4472544227,0.1093,1.10706868242
50,01099,Monroe County,AL,23780,218,242,-23,0,0,0,287960.622576,1099.0,41,50,1099.0,2.7864157773,0.254600349767,607,1099,1099,ALABAMA,AL,Monroe,"Monroe County, Alabama",0.7481,0.26232,78.58,1963,3333.47398624,0,0.0,7.3,21067,4275,25.5,692,8,997,1,94,49,10,9.0,5.0,9.0,5.0,7.0,6.0,9.0,15.7,214.8,39.6,30.2,10.4,4,0.219,61.3239073664,0.1311,1.17473710925
51,01101,Montgomery County,AL,233951,2600,1553,1047,1047,377,670,265663.198095,1101.0,42,51,1101.0,2.37836539586,0.19812137603,608,1101,1101,ALABAMA,AL,Montgomery,"Montgomery County, Alabama",0.8427,1.21657,94.04,1115,5333.06457147,55,0.44426494346,8.6,225763,34173,19.5,502,86,14532,6,1204,1018,266,9.0,5.0,9.0,5.0,7.0,6.0,9.0,13.0,190.3,36.5,25.5,11.9,3,0.178,61.498597832,0.1911,1.21419931391
52,01103,Morgan County,AL,120586,1113,1023,90,90,70,20,180925.474054,1103.0,43,52,1103.0,1.80390414878,0.152202965381,609,1103,1103,ALABAMA,AL,Morgan,"Morgan County, Alabama",0.6895,2.65917,89.31,1371,5720.55096051,110,1.62938823878,4.0,119089,20803,22.4,786,23,9138,1,273,200,73,9.0,5.0,9.0,5.0,7.0,6.0,9.0,11.1,209.4,31.5,26.0,11.6,3,0.149,104.923527579,0.2474,1.04837889719
53,01105,Perry County,AL,10453,107,118,-11,0,0,0,222010.655004,1105.0,44,53,1105.0,2.10956608219,0.180241522189,610,1105,1105,ALABAMA,AL,Perry,"Perry County, Alabama",0.9949,0.22425,78.6,1958,6847.27597499,1,0.14513788099,10.5,9140,1774,23.5,null,0,776,0,0,0,9,9.0,5.0,9.0,5.0,7.0,6.0,9.0,13.6,230.8,45.5,33.5,10.7,4,0.27,67.2419589824,0.1563,1.03721888281
54,01107,Pickens County,AL,20789,196,215,-18,0,0,0,228602.134729,1107.0,45,54,1107.0,2.05403201313,0.223100053543,611,1107,1107,ALABAMA,AL,Pickens,"Pickens County, Alabama",0.9207,0.28668,52.34,2954,6063.67583213,15,1.2077294686,6.1,19938,3793,24.7,1244,0,1531,0,0,0,24,9.0,5.0,9.0,5.0,7.0,6.0,9.0,12.7,222.0,36.2,26.5,10.5,3,0.197,106.085585263,0.1572,1.14935336276
55,01109,Pike County,AL,33794,238,255,-17,0,17,0,227797.886984,1109.0,46,55,1109.0,2.05216736867,0.165808083735,612,1109,1109,ALABAMA,AL,Pike,"Pike County, Alabama",0.9016,0.17686,96.53,967,4754.11785693,7,0.43969849246,4.6,33338,4987,19.3,716,9,1803,1,97,97,22,9.0,5.0,9.0,5.0,7.0,6.0,9.0,12.1,193.9,43.1,26.1,11.0,4,0.188,34.5128085661,0.0661,0.98125110851
56,01111,Randolph County,AL,23368,171,243,-72,0,12,0,161531.206515,1111.0,47,56,1111.0,1.57915834215,0.146397072697,613,1111,1111,ALABAMA,AL,Randolph,"Randolph County, Alabama",0.7191,0.20966,76.48,2075,4557.89702368,11,1.05973025048,3.3,22725,4625,27.2,null,3,1163,1,15,15,29,9.0,5.0,9.0,5.0,7.0,6.0,9.0,13.8,193.1,37.3,28.8,11.0,4,0.156,28.2922780942,0.1055,0.80321665215
57,01113,Russell County,AL,58077,311,514,-203,0,15,0,213893.676998,1113.0,48,57,1113.0,1.9500642742,0.160860490212,614,1113,1113,ALABAMA,AL,Russell,"Russell County, Alabama",0.9115,0.23615,91.78,1240,3790.90724304,7,0.31376064545,4.7,57781,8280,18.3,1335,10,2561,2,128,105,6,9.0,5.0,9.0,5.0,7.0,6.0,9.0,18.2,183.6,40.4,30.4,12.1,3,0.182,28.3441821718,0.1309,0.99862464004
58,01115,St. Clair County,AL,90672,646,741,-95,0,46,0,249199.116364,1115.0,1540,58,1115.0,2.36972146537,0.164672008876,0,0,0,,,,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
59,01117,Shelby County,AL,218517,1200,1174,26,26,94,0,252571.026054,1117.0,1541,59,1117.0,2.50342158341,0.202872834491,0,0,0,,,,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
60,01119,Sumter County,AL,14036,126,136,-10,0,0,0,311539.22401,1119.0,49,60,1119.0,3.06104504187,0.227266150261,615,1119,1119,ALABAMA,AL,Sumter,"Sumter County, Alabama",0.9557,0.12291,74.22,2191,4294.92817356,2,0.34246575343,6.4,12691,2286,23.0,null,6,733,1,33,33,24,9.0,5.0,9.0,5.0,7.0,6.0,9.0,18.7,222.5,43.3,31.1,10.4,4,0.23,103.461357183,0.1717,1.16306485456
